"","Description","Native","BigBytes","R_Encoding","Bytes","Spaced.Bytes"
"1","AERIAL TRAMWAY ","🚡","F0 9F 9A A1","<ed><a0><bd><ed><ba><a1>","f0 9f 9a a1","f0 9f 9a a1"
"2","AIRPLANE ","✈","E2 9C 88","<e2><9c><88>","e2 9c 88","e2 9c 88"
"3","ALARM CLOCK ","⏰","E2 8F B0","<e2><8f><b0>","e2 8f b0","e2 8f b0"
"4","ALIEN MONSTER ","👾","F0 9F 91 BE","<ed><a0><bd><ed><b1><be>","f0 9f 91 be","f0 9f 91 be"
"5","AMBULANCE ","🚑","F0 9F 9A 91","<ed><a0><bd><ed><ba><91>","f0 9f 9a 91","f0 9f 9a 91"
"6","AMERICAN FOOTBALL ","🏈","F0 9F 8F 88","<ed><a0><bc><ed><bf><88>","f0 9f 8f 88","f0 9f 8f 88"
"7","ANCHOR ","⚓","E2 9A 93","<e2><9a><93>","e2 9a 93","e2 9a 93"
"8","ANGER SYMBOL ","💢","F0 9F 92 A2","<ed><a0><bd><ed><b2><a2>","f0 9f 92 a2","f0 9f 92 a2"
"9","ANGRY FACE ","😠","F0 9F 98 A0","<ed><a0><bd><ed><b8><a0>","f0 9f 98 a0","f0 9f 98 a0"
"10","ANGUISHED FACE ","😧","F0 9F 98 A7","<ed><a0><bd><ed><b8><a7>","f0 9f 98 a7","f0 9f 98 a7"
"11","ANT ","🐜","F0 9F 90 9C","<ed><a0><bd><ed><b0><9c>","f0 9f 90 9c","f0 9f 90 9c"
"12","ANTENNA WITH BARS ","📶","F0 9F 93 B6","<ed><a0><bd><ed><b3><b6>","f0 9f 93 b6","f0 9f 93 b6"
"13","ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS ","🔄","F0 9F 94 84","<ed><a0><bd><ed><b4><84>","f0 9f 94 84","f0 9f 94 84"
"14","AQUARIUS ","♒","E2 99 92","<e2><99><92>","e2 99 92","e2 99 92"
"15","ARIES ","♈","E2 99 88","<e2><99><88>","e2 99 88","e2 99 88"
"16","ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS ","⤵","E2 A4 B5","<e2><a4><b5>","e2 a4 b5","e2 a4 b5"
"17","ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS ","⤴","E2 A4 B4","<e2><a4><b4>","e2 a4 b4","e2 a4 b4"
"18","ARTICULATED LORRY ","🚛","F0 9F 9A 9B","<ed><a0><bd><ed><ba><9b>","f0 9f 9a 9b","f0 9f 9a 9b"
"19","ARTIST PALETTE ","🎨","F0 9F 8E A8","<ed><a0><bc><ed><be><a8>","f0 9f 8e a8","f0 9f 8e a8"
"20","ASTONISHED FACE ","😲","F0 9F 98 B2","<ed><a0><bd><ed><b8><b2>","f0 9f 98 b2","f0 9f 98 b2"
"21","ATHLETIC SHOE ","👟","F0 9F 91 9F","<ed><a0><bd><ed><b1><9f>","f0 9f 91 9f","f0 9f 91 9f"
"22","AUBERGINE ","🍆","F0 9F 8D 86","<ed><a0><bc><ed><bd><86>","f0 9f 8d 86","f0 9f 8d 86"
"23","AUTOMATED TELLER MACHINE ","🏧","F0 9F 8F A7","<ed><a0><bc><ed><bf><a7>","f0 9f 8f a7","f0 9f 8f a7"
"24","AUTOMOBILE ","🚗","F0 9F 9A 97","<ed><a0><bd><ed><ba><97>","f0 9f 9a 97","f0 9f 9a 97"
"25","BABY ","👶","F0 9F 91 B6","<ed><a0><bd><ed><b1><b6>","f0 9f 91 b6","f0 9f 91 b6"
"26","BABY ANGEL ","👼","F0 9F 91 BC","<ed><a0><bd><ed><b1><bc>","f0 9f 91 bc","f0 9f 91 bc"
"27","BABY BOTTLE ","🍼","F0 9F 8D BC","<ed><a0><bc><ed><bd><bc>","f0 9f 8d bc","f0 9f 8d bc"
"28","BABY CHICK ","🐤","F0 9F 90 A4","<ed><a0><bd><ed><b0><a4>","f0 9f 90 a4","f0 9f 90 a4"
"29","BABY SYMBOL ","🚼","F0 9F 9A BC","<ed><a0><bd><ed><ba><bc>","f0 9f 9a bc","f0 9f 9a bc"
"30","BACK WITH LEFTWARDS ARROW ABOVE ","🔙","F0 9F 94 99","<ed><a0><bd><ed><b4><99>","f0 9f 94 99","f0 9f 94 99"
"31","BACTRIAN CAMEL ","🐫","F0 9F 90 AB","<ed><a0><bd><ed><b0><ab>","f0 9f 90 ab","f0 9f 90 ab"
"32","BAGGAGE CLAIM ","🛄","F0 9F 9B 84","<ed><a0><bd><ed><bb><84>","f0 9f 9b 84","f0 9f 9b 84"
"33","BALLOON ","🎈","F0 9F 8E 88","<ed><a0><bc><ed><be><88>","f0 9f 8e 88","f0 9f 8e 88"
"34","BALLOT BOX WITH CHECK ","☑","E2 98 91","<e2><98><91>","e2 98 91","e2 98 91"
"35","BANANA ","🍌","F0 9F 8D 8C","<ed><a0><bc><ed><bd><8c>","f0 9f 8d 8c","f0 9f 8d 8c"
"36","BANK ","🏦","F0 9F 8F A6","<ed><a0><bc><ed><bf><a6>","f0 9f 8f a6","f0 9f 8f a6"
"37","BANKNOTE WITH DOLLAR SIGN ","💵","F0 9F 92 B5","<ed><a0><bd><ed><b2><b5>","f0 9f 92 b5","f0 9f 92 b5"
"38","BANKNOTE WITH EURO SIGN ","💶","F0 9F 92 B6","<ed><a0><bd><ed><b2><b6>","f0 9f 92 b6","f0 9f 92 b6"
"39","BANKNOTE WITH POUND SIGN ","💷","F0 9F 92 B7","<ed><a0><bd><ed><b2><b7>","f0 9f 92 b7","f0 9f 92 b7"
"40","BANKNOTE WITH YEN SIGN ","💴","F0 9F 92 B4","<ed><a0><bd><ed><b2><b4>","f0 9f 92 b4","f0 9f 92 b4"
"41","BAR CHART ","📊","F0 9F 93 8A","<ed><a0><bd><ed><b3><8a>","f0 9f 93 8a","f0 9f 93 8a"
"42","BARBER POLE ","💈","F0 9F 92 88","<ed><a0><bd><ed><b2><88>","f0 9f 92 88","f0 9f 92 88"
"43","BASEBALL ","⚾","E2 9A BE","<e2><9a><be>","e2 9a be","e2 9a be"
"44","BASKETBALL AND HOOP ","🏀","F0 9F 8F 80","<ed><a0><bc><ed><bf><80>","f0 9f 8f 80","f0 9f 8f 80"
"45","BATH ","🛀","F0 9F 9B 80","<ed><a0><bd><ed><bb><80>","f0 9f 9b 80","f0 9f 9b 80"
"46","BATHTUB ","🛁","F0 9F 9B 81","<ed><a0><bd><ed><bb><81>","f0 9f 9b 81","f0 9f 9b 81"
"47","BATTERY ","🔋","F0 9F 94 8B","<ed><a0><bd><ed><b4><8b>","f0 9f 94 8b","f0 9f 94 8b"
"48","BEAR FACE ","🐻","F0 9F 90 BB","<ed><a0><bd><ed><b0><bb>","f0 9f 90 bb","f0 9f 90 bb"
"49","BEATING HEART ","💓","F0 9F 92 93","<ed><a0><bd><ed><b2><93>","f0 9f 92 93","f0 9f 92 93"
"50","BEER MUG ","🍺","F0 9F 8D BA","<ed><a0><bc><ed><bd><ba>","f0 9f 8d ba","f0 9f 8d ba"
"51","BELL ","🔔","F0 9F 94 94","<ed><a0><bd><ed><b4><94>","f0 9f 94 94","f0 9f 94 94"
"52","BELL WITH CANCELLATION STROKE ","🔕","F0 9F 94 95","<ed><a0><bd><ed><b4><95>","f0 9f 94 95","f0 9f 94 95"
"53","BENTO BOX ","🍱","F0 9F 8D B1","<ed><a0><bc><ed><bd><b1>","f0 9f 8d b1","f0 9f 8d b1"
"54","BICYCLE ","🚲","F0 9F 9A B2","<ed><a0><bd><ed><ba><b2>","f0 9f 9a b2","f0 9f 9a b2"
"55","BICYCLIST ","🚴","F0 9F 9A B4","<ed><a0><bd><ed><ba><b4>","f0 9f 9a b4","f0 9f 9a b4"
"56","BIKINI ","👙","F0 9F 91 99","<ed><a0><bd><ed><b1><99>","f0 9f 91 99","f0 9f 91 99"
"57","BILLIARDS ","🎱","F0 9F 8E B1","<ed><a0><bc><ed><be><b1>","f0 9f 8e b1","f0 9f 8e b1"
"58","BIRD ","🐦","F0 9F 90 A6","<ed><a0><bd><ed><b0><a6>","f0 9f 90 a6","f0 9f 90 a6"
"59","BIRTHDAY CAKE ","🎂","F0 9F 8E 82","<ed><a0><bc><ed><be><82>","f0 9f 8e 82","f0 9f 8e 82"
"60","BLACK CLUB SUIT ","♣","E2 99 A3","<e2><99><a3>","e2 99 a3","e2 99 a3"
"61","BLACK DIAMOND SUIT ","♦","E2 99 A6","<e2><99><a6>","e2 99 a6","e2 99 a6"
"62","BLACK DOWN-POINTING DOUBLE TRIANGLE ","⏬","E2 8F AC","<e2><8f><ac>","e2 8f ac","e2 8f ac"
