,x,expansion
1,a$$,ass
2,*4u,Kiss for you
3,bi,bye
4,c,see
5,d&c,divide and conquer
6,e-ok,Electronically OK
7,f u,fuck you
8,*g*,grin
9,h&k,hugs and kisses
10,j-c,just chilling
11,k,ok
12,l0lz,laugh out loud
13,m,am
14,n,and
15,o,Oh
16,p-nis,penis
17,q2c,quick to cum
18,r,are
19,*s*,smile
20,t#3,the
21,u,you
22,v4g1n4,vagina
23,w'sup,what's up
24,txtms,text me soon
25,y,why
26,z'omg,Oh my God
27,a&f,always and forever
28,a'ight,alright
29,a.i.m.,aol instant messanger
30,a/l,age and location
31,a/m,away message
32,aaf,as a friend
33,aak,Alive and Kicking
34,aamof,as a matter of fact
35,aatf,always and totally forever
36,aatw,all around the world
37,abd,Already Been Done
38,abend,absent by enforced net deprivation
39,abft,About fucking Time
40,aboot,about
41,abreev,abbreviation
42,absnt,absent
43,abt,about
44,abwt,about
45,acc,account
46,acct,account
47,acgaf,Absolutely couldn't give a fuck
48,ack,acknowledged
49,addy,address
50,adhd,Attention Deficit Hyperactivity Disorder
51,adl,all day long
52,admin,administrator
53,adn,any day now
54,aeap,as early as possible
55,af,assface
56,afaiaa,As Far As I Am Aware
57,afaic,as far as I'm concerned
58,afaicr,As Far As I Can Remember
59,afaicr4,as far as i can remember for
60,aicmfp,and I claim my five pounds
61,aight,Alright
62,aightz,alright
63,aiic,as if I care
64,aiid,and if I did
65,aiight,all right
66,aim,AOL instant messanger
67,aimmc,Am I making myself clear 
68,ain't,am not
69,aite,Alright
70,aitr,Adult in the room
71,aiui,as I understand it
72,aiws,as i was saying
73,ajax,Asynchronous Javascript and XML
74,aka,also known as
75,akp,Alexander King Project
76,akpcep,Alexander King Project Cultural Engineering Project
77,alaylm,As long as you love me
78,alaytm,as long as you tell me
79,alol,actually laughing out loud
80,alot,a lot
81,alotbsol,always look on the bright side of life
82,alright,all right
83,alrite,Alright
84,alrt,alright
85,alryt,alright
86,ama,ask me anything
87,amf,adios motherfucker
88,amiic,ask me if i care
89,amiigaf,ask me if i give a fuck
90,aml,All My Love
91,ams,Ask me something
92,amsp,ask me something personal
93,anim8,animate
94,anl,all night long
95,anlsx,Anal Sex
96,anon,anonymous
97,anuda,another
98,anw,anyways
99,anwwi,alright now where was i
100,any1,Anyone
101,anywaz,anyways
102,aob,any other business
103,aoc,age of consent
104,aoe,Age Of Empires
105,aon,all or nothing
106,aos,adult over shoulder
107,aota,all of the above
108,aoto,Amen on that one
109,aoys,angel on your shoulder
110,api,application program interface
111,apoc,apocalypse
112,apod,Another Point Of Discussion
113,app,application
114,appt,appointment
115,aprece8,appreciate
116,apreci8,appreciate
117,apu,as per usual
118,aqap,as quick as possible
119,ar,are
120,arnd,around
121,arse,ass
122,arsed,bothered
123,arvo,afternoon
124,asafp,as soon as fucking possible
125,asaik,as soon as I know
126,asap,as soon as possible
127,asarbambtaa,All submissions are reviewed by a moderator before they are added.
128,asbmaetp,Acronyms should be memorable and easy to pronounce
129,ase,age sex  ethnicity
130,asf,and so forth
131,ashl,asshole
132,ashole,asshole
133,asic,application specific integrated circuit
134,asl,age sex location
135,asln,age sexlocation name
136,aslo,age sex location orientation
137,aslop,Age Sex Location Orientation Picture
138,aslp,age sex location picture
139,aslr,age sex location race
140,aslrp,age sex location race picture
141,asr,age sex race
142,asshle,asshole
143,atb,all the best
144,atfp,answer the fucking phone
145,atl,atlanta
146,atm,at the moment
147,ato,against the odds
148,atop,at time of posting
149,atp,answer the phone
150,atq,answer the question
151,atst,At the same time
152,attn,attention
153,attotp,At The Time Of This Post
154,atw,All the way
155,aty,according to you
156,audy,Are you done yet?
157,aufm,are you fucking mental
158,aufsm,are you fucking shiting me
159,aup,acceptable use policy
160,aupi,and your point is
161,av7x,avenged sevenfold
162,avgn,Angry Video Game Nerd
163,avie,Avatar
164,avsb,a very special boy
165,avtr,avatar
166,avvie,avatar
167,avy,Avatar
168,awb,Acquaintance with benefits
169,awes,awesome
170,awk,awkward
171,awol,absent without leave
172,awsic,and why should i care
173,awsm,awesome
174,awsome,awesome
175,awty,are we there yet
176,ayagob,are you a girl or boy
177,ayb,All Your Base
178,aybab2m,all your base are belong 2 me
179,aybab2u,All your base are belong to us
180,aybabtg,All Your Base Are Belong To Google
181,aybabtu,all your base are belong to us
182,ayc,awaiting your comments
183,ayd,are you done
184,aydy,are you done yet
185,ayec,at your earliest convenience
186,ayfk,are you fucking kidding
187,ayfkm,are you fucking kidding me
188,ayfr,are you for real
189,ayfs,Are You fucking Serious
190,ayk,are you kidding
191,aykm,are you kidding me
192,ayl,are you listening
193,aymf,are you my friend
194,ayok,are you okay
195,aypi,And Your Point Is
196,ays,are you serious
197,aysm,are you shitting me?
198,ayst,are you still there
199,ayt,are you there
200,ayte,alright
201,aytf,are you there fucker
202,ayty,are you there yet
203,ayw,as you wish
204,azhol,asshole
205,azn,asian
206,azz,ass
207,Ya'll,You all
208,$#!+,shit
210,1,one
211,a-town,Atlanta GA
212,b-lo,Buffalo
213,c-note,$100 Bill
214,d&d,drag and drop
215,ebitr,evil brother in the room
216,f.m.l,fuck My Life
217,g2b,going to be
218,h0mo53xu21,homosexual
219,iac,i am cool
220,ja,just asking
221,kafs,kill all fucking scammers
222,l83r,later
223,m*vin,i'm starving
224,n00i3,new person
225,obg,Oldies  but Goodies
226,pac,parents are coming
227,qff,quit fucking farting
228,ratm,Rage Against the Machine
229,s.o.s,someone over shoulder
230,t-14,turning 14
231,u1,you first
232,vc,VanCleef
233,w-m?,where to meet
235,yaa,you are annoying
236,zf,Zul'Farrak
238,*67,unknown
239,*eg*,evil grin
240,7734,hello
241,0day,software illegally obtained before it was released
242,0noe,Oh No
243,0vr,over
244,10q,thank you
245,10tacle,Tentacle
246,10x,thanks
247,12b,wannabe
248,1337,elite
249,133t,elite
250,13itch,bitch
251,143,I love you
252,187,murder
253,1ab,wannabe
254,1daful,wonderful
255,1dering,wondering
256,1nce,once
257,1sec,one second
258,2,too
259,2b,to be
260,2b4u,too bad for you
261,2bad4u2,too bad for you too 
262,2bh,to be honest
263,2da,to the
264,2dae,today
265,2day,today
266,2ditd,today is the day
267,2ez,too easy
268,2g2b4g,To good to be forgotten
269,2g2bt,too good to be true
270,2ge4,Together
271,2getha,together 
272,2gether,together
273,2gethr,together
274,2getr,Together
275,2h2h,too hot to handle
276,2h4u,too hot for you
277,2k0,2000
278,2k1,2001
279,2k14,2014
280,2k2,2002
281,2k3,2003
282,2k4,2004
283,2k5,2005
284,2k6,2006
285,2k7,2007
286,2k8,2008
287,2k9,2009
288,2l8,too late
289,2m,tomorrow
290,2m4u,too much for you
291,2ma,Tomorrow
292,2maro,tomorrow
293,2mmrw,tomorrow
294,2mo,tomorrow
295,2mora,tomorrow
296,2moro,tomorrow
297,2morow,tomorrow
298,2morro,tomorrow
299,2morrow,tommorrow
300,2moz,tomorrow
301,2mozz,tomorrow
302,2mro,tomorrow
303,2mrw,tomorrow
304,2mw,tomorrow
305,2mz,tomorrow
306,2night,tonight
307,2nite,tonight
308,2nyt,tonight
309,2o4s,too old for sex
310,2qt,too cute
311,2sday,tuesday
312,2tali,totally
313,2tm,to the max
314,2trd,too tired
315,2u2,To you too
316,301ing,referring traffic to another site
317,304,hoe
318,31337,elite
319,313373,elite
320,31ee7,elite
321,3arc,Treyarch
322,3q,thank you
323,3u,thank you
324,3vi1,evil
325,3y3 y4m,I am
326,4,for
327,404,Clueless
328,42n8,fortunate
329,4311,hell
330,4ax0r,hacker
331,4col,For crying out loud
332,4e&e,forever and ever
333,4eva,forever
334,4ever,forever
335,4evr,for ever
336,4evs,forever
337,4fs,for fuck's sake
338,4g8,forget
339,4gai,forget about it
340,4geit,forget it
341,4get,forget
342,4getu,forget you
343,4give,forgive
344,4got,forgot
345,4gv,forgive
346,4head,forehead
347,4hoa,four horsemen of the apocalypse
348,4ker,fucker
349,4king,fucking
350,4lyf3,for life
351,4lyfe,for life
352,4m,form
353,4n,Phone
354,4q,fuck you
355,4r3al,for real
356,4rm,from
357,4sho,for sure
358,4tlog,for the love of god
359,4tw,for the win
360,4u,for you
361,4umb,For You Maybe
362,4us,for us
363,4ward,forward
364,4wd,forward
365,4yeo,For Your Eyes Only
366,5-oh,cop
367,53x,sex
368,5h17,shit
369,5n,fine
370,5o,police
371,6flx,sex flick
372,6up,cops in area
373,6y,sexy
374,7734,hell
375,7uck,fuck
376,8008,boob
377,8008135,boobies
378,80085,Boobs
379,81tc#,bitch
380,9009l3,Google
381,911sc,emergency let's stop chatting
382,9t,night
384,wru,Where are you?
385,?up,what's up?
386,?^,what's up?
387,@,at
388,@$$,ass
389,@$$ #013,ass hole
