"","text","b"
"1","Excuse me as I explain why A Quiet Place was absolutely terrible. 

#filmreview
#MovieReview
#movies #EmilyBlunt #johnkrasinski #AQuietPlace
 https://t.co/Bfg0MPPjB1 https://t.co/BtuVXULwAX",-1
"2","#Jumanji Welcome to the Jungle #MovieReview... 4 Karen Gillan midriffs out of 5.",1
"3","@MissingTheMovie and @BlackmailFilm Movie Review By @RjHarshil 

Watch here : https://t.co/Gosg2asATs

#RadioCity #Ahmedabad #TheMissing #Blackmail #MovieReview @irrfank #Tabu @BajpayeeManoj @annukapoor_ https://t.co/sjLDHoS5Y8",-1
"4","Saturday night movie: Curvature (2017).
Ok concept. Poor story. Poor script.
Terrible acting. Rubbish.
#MovieReview",-1
"5","Twist and turns of #Blackmail are surely enough making it a one time watch. https://t.co/jqaKbriSXU @BlackmailFilm @irrfank @IamKirtiKulhari @divyadutta25 #ArunodaySingh @OmiOneKenobe @raogajraj @AbhinayDeo @sathe_anuja  #BhushanKumar @TSeries #MovieReview https://t.co/ZIcpNJaQCV",-1
"6","With almost every actor delivering a noteworthy performance, @BlackmailFilm becomes a worth watch. @irrfank @IamKirtiKulhari @divyadutta25 @OmiOneKenobe @sathe_anuja Directed by @AbhinayDeo Read its entire #MovieReview here
https://t.co/9qgy5ogP5P
#Blackà¤®à¥‡à¤² #Blackmailreview https://t.co/JwwJDX00Gw",1
"7","Iâ€™ve heard for weeks how intense and shocking #AQuietPlace is, but all of that still didnâ€™t quite prepare me for the actual film. Hereâ€™s my review. 

https://t.co/zTMIiUlFdI

@SLFilmReview #MovieReview #FilmReview #Horror",-1
"8","Batman: Mask Of The Phantasm â€“ Blu-ray Review https://t.co/sGhTtY2S2S #Batman #Animated #Feature #MovieReview #Bluray #HD @WarnerArchive",1
"9","My next #moviereview is on a movie that makes me sad - HER https://t.co/gW3OuLCEWi",-1
"10","â€œThe Death of Stalin,â€ is social commentary with touches of Monty Python and Marx Brothers.
https://t.co/dvj9z3unTy
#farce   #moviereview   #comedy https://t.co/3N5IByA4aL",-1
"11","5 #films from the #NorthEast India which have garnered national and international attention in 2017. Have you watched all of them? #BVFF #movies #MovieReview @VillageRockFilm @rimadas_Artist @SanjibDE @IIISBTheFilm @PahunaTheFilm @PurplePebblePic @priyankachopra @zubeengarg1 https://t.co/nnmOp37TAR",1
"12","This is my latest movie review, about the #ReadyPlayerOne movie. It was fairly good, better than most sci-fi movies we've been getting, check it here: https://t.co/5z7AYa9t1a #StevenSpielberg #movie #moviereview #culture https://t.co/rQoZ3fLQ6U",1
