"","original","text"
"1","#MovieReview: ""A cheeky little morsel of a review to ride you over until supper. Manchester by the Sea. Follow me on twitter for more bite size reviews @QuickCutMovies"" via /r/moviecritic https://t.co/GcHHEDcaFq https://t.co/FA5W593p95","cheeky little morsel review ride supper manchester sea follow twitter more bite size reviews moviecritic"
"2","#MovieReview for Manchester by the Sea:

A terribly sad film, interspersed with light, jovial moments that fit quite naturally. This mostly down to the performances of Affleck (a truly brilliant actor) and Hedges. Sparse, slow, dark and so moving. Odd music. #Netflix. 4.5/5","manchester sea terribly sad film interspersed light jovial moments fit quite naturally performances affleck truly brilliant actor hedges sparse slow dark moving odd music"
"3","Making our way down the head of the shaft with our Long “Hard” road to @deadpoolmovie series. Link to full #MovieReview <U+2B07><U+FE0F><U+2B07><U+FE0F><U+2B07><U+FE0F><U+2B07><U+FE0F><U+2B07><U+FE0F> https://t.co/kTm2HlaUIj","making way head shaft long hard road series link full b fef b fef b fef b fef b fef"
"4","FORTRESS (1992)   <U+2605>3 out of 4 Stars<U+2605>  ''A man and his wife are nabbed at an emigration point and sent to a futuristic prison.''   <U+25BA> https://t.co/nPCGghmLrk   <U+25CF> #MovieReview #Year1992","fortress stars man wife are nabbed emigration point sent futuristic prison ba"
"5","NEW BLUR COLLECTION UPDATE VIDEO WITH M
\OVIE ROOM TOUR!!! #bluray #4k #uhd #movie #movies #moviereview https://t.co/Tn99gOWPEH","new blur collection update video am ovie room tour"
"6","I feel like we need more blood soaked revenge horror thrillers where awful men get what they deserve. Luckily, 'Revenge' is hitting theaters this Friday! https://t.co/dJbFByq03M #RevengeMovie #MovieReview https://t.co/oDN5Yjfkig","feel need more blood soaked revenge horror thrillers where awful men get deserve luckily revenge is hitting theaters friday"
"7","New to video this week 'FIFTY SHADES FREED', my review: https://t.co/YKi3XcCAS6 @FiftyShades #FiftyShades #fiftyshadesfreed #FiftyShadesofGrey #FiftyShadesOfC #Views #MovieReview #filmreviews #review #fiftyshadesfreedreview #film #supportindiefilm #critic","new video week shades freed review"
"8","Veere Di Wedding Review
#VeereDiWedding #sonamkapoor #KareenaKapoorKhan  #Kareena #Moviereview #UpcomingReleases #Upcoming #LatestMovies #Aboutboxoffice
https://t.co/sIcJb3bRhp https://t.co/MQLzIXJFso","veere di wedding review"
"9","#CriterionMay She wants revenge.  Insiang (1976) reviewed on #BasementRejects

THE REVIEW:  https://t.co/6OXtKFibM6

#Insiang #WorldCinema #Criterion #CriterionCollection #Filmstruck #MovieReview #MovieReviews #Movies https://t.co/XzY4NrbNJI","wants revenge insiang reviewed review"
"10","IN THE MOUTH OF MADNESS (1994)   <U+2605>3.5 out of 4 Stars<U+2605>  ''An investigator discovers the strange impact a horror writer's books have on his readers.''   <U+25BA> https://t.co/UdVyZerFis   <U+25CF> #MovieReview #Year1994","mouth madness stars investigator discovers strange impact horror writer books have readers"
