"","original","text"
"1","Impulse buy at Tescos! #thegreatestshowman… https://t.co/ODjInavVUk","impulse buy tescos"
"2","All the shine of a thousand spotlights, all the stars we steal from the night sky, will never be enough

Towers of gold are still too little, these hands could hold the world but it'll, never be enough

#TheGreatestShowman","shine spotlights all stars steal night sky never be enough towers gold are still too little hands hold world never be enough"
"3","Entertain the kids this #halfterm with our popular Spring Trail, all new Nature Walk, geocaching, orienteering and #archery. Plus we've got Circus Allstar workshops in anticipation of our outdoor cinema screening of #TheGreatestShowman.

Find out more: https://t.co/xQCIGg1l8J https://t.co/6Bs9NnpH4c","entertain kids popular spring trail new nature walk geocaching orienteering have got circus allstar workshops anticipation outdoor cinema screening find"
"4","The great #cynosure
Show in downtown Manhattan
So-called circus freaks

#haiku #WordOfTheDay #WOTDhaiku @Dictionarycom @GreatestShowman #TheGreatestShowman https://t.co/irAA4rjn5C","great show downtown manhattan so called circus freaks"
"5","#TheGreatestShowman 

Shit... so good MUST WATCH!!!

The Greatest Showman | ""This Is Me"" with Keala Settle | 20th Century FOX https://t.co/8ieMBq8DmD via @YouTube","shit so good watch greatest showman is keala settle century fox"
"6","I just got done watching #TheGreatestShowman twice. @hughjackmvn @ZacEfron and the cast...amazing. The movie brings joy. Thank you.","just got done watching twice cast amazing movie brings joy thank"
"7","#TheGreatestShowman 
#mindblown  Loren Allred - Never Enough (Live Performance) https://t.co/qiZsi88aPs via @YouTube","loren never enough live performance"
"8","I am brave, i am bruised,
I am who i meant to be,
This is me, #ThisIsMe 
#TheGreatestShowman","i am brave am bruised meant be is"
"9","All the shine of a thousand spotlight,
All the stars we steal from the nightsky,
Will never be enough,#NeverEnough
#TheGreatestShowman","shine spotlight stars steal nightsky never be enough"
"10","@RealHughJackman I've been a fan of yours for a long time watching the X-Men but you outdid yourself with #thegreatestshowman. Your best movie yet!","have been fan long time watching men outdid best movie"
"11","THE GREATEST SHOWMAN<f0><U+009F><U+0092><U+0099>
·
·
#thegreatestshowman… https://t.co/3t75ufLAbu","greatest showman b b"
"12","Genuinely can't stop listening to the @GreatestShowman soundtrack. So many incredible songs. #thegreatestshowman","not stop listening soundtrack so many incredible songs"
"13","#thegreatestshowman recreated at the @CLIAUK trade fair in Southampton. #GenerationCruise https://t.co/fdKASXNUPm","recreated trade fair southampton"
"14","A star in the making! #thegreatestshowman https://t.co/iLAwlJyNQV","star making"
"15","Massive attendence at #Filmclub this week!!! #thegreatestshowman <f0><U+009F><U+008E><U+00A9><f0><U+009F><U+008E><U+00B5> https://t.co/39oIfpSq0E","massive attendence week"
"16","@RealHughJackman Hey Hugh do you think you could spare a moment of your time to send a message of support to my wife Sarah who is currently undergoing chemotherapy for breast cancer? it would really mean a lot to me and give her a massive boost! #dailytweet #thegreatestshowman","hugh do think spare moment time send message support wife sarah is currently undergoing chemotherapy breast cancer really mean lot give massive boost"
"17","This is me. #pedrojose #pedrojosemusic #thisisme #thegreatestshowman #puertorico #instagram #instagood #iphonex #rehearsal #singer #music #musicbusiness https://t.co/aWE9CUkmXs","is"
